epoch,train_loss,train_acc,val_loss,val_acc,time_sec
1,1.335387,0.580333,1.262282,0.686500,3.89
2,1.218643,0.722000,1.123655,0.768000,3.89
3,1.104853,0.767667,1.002279,0.768500,3.89
4,1.020184,0.789500,0.923474,0.765500,3.89
5,0.971228,0.799250,0.881074,0.808000,3.88
6,0.946534,0.805333,0.861893,0.815000,3.89
7,0.896332,0.817333,0.758378,0.837000,3.90
8,0.828535,0.833667,0.682484,0.856000,3.89
9,0.783982,0.848000,0.633992,0.862000,3.90
10,0.756927,0.855750,0.604101,0.863500,3.89
11,0.741953,0.859417,0.588543,0.867000,3.89
12,0.734507,0.863500,0.581669,0.867500,3.88
13,0.720565,0.869000,0.544167,0.883500,3.88
14,0.700059,0.873333,0.514998,0.883500,3.85
15,0.685365,0.878917,0.497141,0.895000,3.87
16,0.676183,0.883667,0.483982,0.882000,3.86
17,0.670671,0.883583,0.477507,0.898000,3.86
18,0.667763,0.885750,0.474316,0.895000,3.85
19,0.662686,0.886250,0.459687,0.890500,3.85
20,0.654237,0.889333,0.444522,0.899000,3.87
