epoch,train_loss,train_acc,val_loss,val_acc,grad_norm,time_sec
1,1.908095,0.272333,1.311016,0.428500,7.428955e-01,125.50
2,1.207706,0.590417,1.071233,0.650500,5.635869e-01,125.31
3,1.085497,0.699500,1.004629,0.729000,4.127308e-01,122.95
4,1.052801,0.731917,0.982993,0.741000,3.572947e-01,123.15
5,1.039157,0.743250,0.972678,0.760500,3.598431e-01,123.06
6,1.032461,0.753750,0.968117,0.764500,3.564546e-01,125.67
7,1.019755,0.773583,0.945062,0.783500,3.461298e-01,128.92
8,1.000795,0.792333,0.922993,0.814500,3.414014e-01,126.08
9,0.977483,0.813250,0.891717,0.825000,3.146752e-01,125.71
10,0.953881,0.824333,0.871430,0.830000,2.895257e-01,126.72
11,0.942036,0.828833,0.862296,0.833000,2.911565e-01,129.66
12,0.936590,0.830167,0.857948,0.834000,2.799536e-01,124.25
13,0.925244,0.832000,0.832979,0.840500,2.941814e-01,123.06
14,0.905687,0.839250,0.807944,0.840500,2.996206e-01,126.71
15,0.888632,0.839000,0.790291,0.841500,2.946082e-01,121.20
16,0.878084,0.833417,0.778778,0.836000,3.029838e-01,153.63
17,0.872844,0.826750,0.773898,0.830500,2.988048e-01,211.24
18,0.870587,0.819000,0.771744,0.822500,3.021345e-01,464.69
19,0.867191,0.812417,0.763154,0.819500,3.072492e-01,534.07
20,0.862993,0.805250,0.758395,0.810000,3.116522e-01,536.24
