variant,val_acc,val_acc,val_loss,val_loss,val_gap,val_gap,test_acc,test_acc,test_loss,test_loss,test_gap,test_gap,sec_epoch,sec_epoch,sec_quantum_train,sec_quantum_train,sec_quantum_val,sec_quantum_val,sec_quantum_test,sec_quantum_test,nparams_trainable,nparams_trainable,e3_fb_test,e3_fb_test
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
E1,0.722,0.028000000000000025,0.7596672864194262,0.013969683132225965,2.304895597676436,0.08904880882076818,0.7193333333333333,0.00611010092660778,0.7874982289419471,0.014201970509559413,2.2578735195994377,0.12147451821193901,71.51868955294292,0.14647605428149033,28.562519868214924,0.04991645054298707,12.617866436640421,0.03301448572923565,12.61733333269755,0.02447684612676927,3682.0,0.0,0.0,0.0
E2,0.6673333333333332,0.021007935008784912,0.9516057545630029,0.03680925214141203,1.8864589513738952,0.10437600299347013,0.6426666666666666,0.015534906930308076,0.9614168937771271,0.021091690274365863,1.87666680158178,0.12526638857196246,47.2577927907308,0.2307267927414762,18.108180284500122,0.10847429960449403,8.577325423558554,0.10569596354676339,8.462833563486734,0.036089149621330883,3682.0,0.0,0.0,0.0
E3,0.7106666666666666,0.01026320287889379,0.8383429047985685,0.012172625089790043,2.4982833028237024,0.24028743524091373,0.7093333333333334,0.02369247419188912,0.8469090730666992,0.06075959727856936,2.511684417406718,0.21202536463288982,46.09503221511841,0.1867726974889213,17.85523311297099,0.13223515222983387,8.079828023910522,0.030446975337609188,8.083944082260132,0.029119644646721083,3682.0,0.0,0.0,0.0
E4,0.6773333333333333,0.02700617213403876,0.9018101921797497,0.023194904318759903,1.9778662715156876,0.12161203992890818,0.6566666666666667,0.012055427546683442,0.9494953052478378,0.01451555126954172,1.9592801757951577,0.15129769969456622,48.79533163706461,0.10320521585573882,18.342686255772907,0.10248117582419383,8.637253681818644,0.09588797016274699,8.64016858736674,0.11856959589566066,3682.0,0.0,0.0,0.0
