epoch,train_loss,train_acc,val_loss,val_acc,grad_norm,time_sec
1,1.138912,0.615167,1.012729,0.651000,4.649992e-01,65.27
2,1.026188,0.644500,0.926934,0.691000,3.221178e-01,64.81
3,0.979345,0.715750,0.890764,0.755500,2.841456e-01,64.63
4,0.956047,0.768167,0.873880,0.783000,2.523869e-01,65.19
5,0.944712,0.791167,0.865557,0.799500,2.422837e-01,63.95
6,0.939078,0.798500,0.861721,0.806000,2.448426e-01,64.88
7,0.927004,0.808917,0.838720,0.822000,2.443303e-01,64.34
8,0.911679,0.811000,0.824662,0.815500,2.629356e-01,65.24
9,0.902901,0.807750,0.817250,0.811500,2.678343e-01,69.25
10,0.897448,0.807500,0.811183,0.814500,2.804792e-01,65.35
11,0.893808,0.808417,0.808131,0.818000,2.892080e-01,65.12
12,0.891874,0.810500,0.806584,0.817000,2.964152e-01,64.81
13,0.887948,0.815000,0.798498,0.828000,3.123515e-01,64.44
14,0.882474,0.822917,0.792849,0.830000,3.168158e-01,64.36
15,0.879054,0.825000,0.789524,0.834000,3.080666e-01,64.72
16,0.876816,0.828083,0.788172,0.836500,3.134771e-01,64.14
17,0.875523,0.828583,0.787359,0.832000,3.061750e-01,65.25
18,0.874926,0.829000,0.786466,0.835500,3.098345e-01,64.80
19,0.873790,0.829333,0.784207,0.838500,3.145155e-01,65.02
20,0.871649,0.829917,0.782272,0.843000,3.074612e-01,63.78
