epoch,train_loss,train_acc,val_loss,val_acc,grad_norm,time_sec
1,1.104015,0.616250,0.735471,0.772500,8.915448e-01,199.82
2,0.756062,0.821167,0.571027,0.854000,6.479121e-01,200.46
3,0.669878,0.880667,0.501894,0.885000,5.502347e-01,199.75
4,0.631566,0.898917,0.466596,0.895000,4.985787e-01,200.52
5,0.612688,0.906167,0.450011,0.898500,4.931506e-01,200.63
6,0.603921,0.908083,0.442491,0.899000,4.835971e-01,199.35
7,0.589028,0.912167,0.409869,0.912500,4.610631e-01,199.72
8,0.570797,0.918000,0.391009,0.918500,4.507013e-01,200.43
9,0.560086,0.919500,0.379284,0.920000,4.327765e-01,199.47
10,0.554336,0.920417,0.373627,0.919000,4.233001e-01,201.72
11,0.551079,0.922500,0.370142,0.920500,4.167498e-01,201.00
12,0.549286,0.922583,0.369114,0.920500,4.245633e-01,199.31
13,0.546941,0.922917,0.363982,0.924000,4.189523e-01,201.49
14,0.542772,0.926083,0.361334,0.925000,4.038676e-01,201.67
15,0.540255,0.927167,0.357026,0.926500,4.062457e-01,200.27
16,0.538210,0.928000,0.354763,0.926000,3.994566e-01,200.98
17,0.536925,0.928583,0.354264,0.926500,3.910981e-01,201.70
18,0.536190,0.928583,0.352774,0.927000,3.898048e-01,199.73
19,0.535527,0.929167,0.350201,0.926500,3.943728e-01,201.60
20,0.533038,0.931417,0.344830,0.926000,3.942193e-01,201.27
