epoch,train_loss,train_acc,val_loss,val_acc,grad_norm,time_sec
1,1.477508,0.253417,1.285163,0.360000,6.455256e-01,162.96
2,1.257895,0.374667,1.166842,0.532000,5.291017e-01,166.19
3,1.127325,0.603167,1.014564,0.739000,4.332617e-01,162.59
4,1.028604,0.774667,0.935793,0.820000,3.840761e-01,167.01
5,0.981419,0.815333,0.901419,0.830500,3.701115e-01,161.95
6,0.961684,0.821000,0.888003,0.830500,3.537709e-01,161.71
7,0.932719,0.825833,0.839244,0.827500,3.452802e-01,164.82
8,0.903849,0.828083,0.814965,0.834000,3.281664e-01,161.23
9,0.886921,0.831917,0.798530,0.834000,3.288187e-01,162.02
10,0.874901,0.835000,0.785460,0.840000,3.028738e-01,162.51
11,0.866003,0.836250,0.776697,0.841500,3.061013e-01,162.52
12,0.860697,0.838167,0.772272,0.843000,3.108466e-01,165.55
13,0.848835,0.841250,0.747449,0.839500,3.035967e-01,163.22
14,0.832070,0.844750,0.727444,0.848500,2.931176e-01,166.40
15,0.820339,0.846583,0.716206,0.846500,2.995116e-01,160.08
16,0.812900,0.847167,0.708088,0.854000,2.898309e-01,167.26
17,0.808379,0.848167,0.704280,0.851000,2.850010e-01,163.94
18,0.805986,0.847583,0.702337,0.853500,2.916478e-01,167.49
19,0.801391,0.847000,0.693409,0.855500,2.787736e-01,169.87
20,0.794093,0.848500,0.685062,0.853500,2.808534e-01,166.33
