epoch,train_loss,train_acc,val_loss,val_acc,grad_norm,time_sec
1,1.160940,0.513917,1.062465,0.587500,1.653240e-01,87.19
2,1.082306,0.619750,1.018058,0.658000,1.499952e-01,86.82
3,1.061498,0.658333,1.005093,0.671500,1.521337e-01,87.47
4,1.051549,0.669000,0.993681,0.687000,1.575266e-01,87.88
5,1.043381,0.682167,0.986874,0.702500,1.621520e-01,86.83
6,1.039122,0.692750,0.983990,0.710500,1.556205e-01,86.60
7,1.032567,0.718000,0.973911,0.781500,1.599072e-01,87.44
8,1.025997,0.782833,0.968201,0.817500,1.592381e-01,87.05
9,1.020756,0.812917,0.962997,0.861500,1.585523e-01,86.69
10,1.015959,0.844250,0.959205,0.863500,1.623393e-01,87.71
11,1.012812,0.850667,0.956810,0.872000,1.603767e-01,87.76
12,1.011404,0.859333,0.956025,0.874500,1.586270e-01,87.90
13,1.009332,0.856000,0.953627,0.878000,1.646606e-01,86.95
14,1.007507,0.862167,0.951906,0.872000,1.592621e-01,88.19
15,1.006238,0.860417,0.951013,0.864000,1.637530e-01,88.77
16,1.005439,0.853833,0.950337,0.869500,1.619535e-01,86.98
17,1.004957,0.859000,0.949934,0.865500,1.587823e-01,86.52
18,1.004670,0.852750,0.949780,0.867500,1.615285e-01,87.80
19,1.004311,0.854333,0.948932,0.857000,1.633002e-01,87.68
20,1.003396,0.853667,0.947753,0.865500,1.655252e-01,86.93
