arm,seed,n_params,timestamp,n_epochs_trained,best_epoch,best_val_loss,val_acc_best,test_loss,test_acc,cm_00,cm_01,cm_02,cm_03,cm_10,cm_11,cm_12,cm_13,cm_20,cm_21,cm_22,cm_23,cm_30,cm_31,cm_32,cm_33
trained,44,62,2026-06-01T17:48:29,19,19,0.287682,0.927500,0.283212,0.931500,449,31,3,17,28,469,0,3,0,0,476,24,15,4,12,469
frozen,44,52,2026-06-01T17:49:00,16,16,0.485374,0.864000,0.488437,0.865000,404,55,4,37,44,452,0,4,0,0,478,22,26,16,62,396
mlp8,44,2108,2026-06-01T17:50:35,13,13,0.115750,0.987500,0.134112,0.981000,479,7,0,14,7,492,0,1,0,0,500,0,4,1,4,491
randfeat,44,52,2026-06-01T17:52:09,20,20,0.576094,0.789500,0.565214,0.789000,370,97,8,25,64,433,0,3,0,1,432,67,28,10,119,343
logistic,44,1028,2026-06-01T17:53:42,19,19,0.163747,0.986500,0.169138,0.977500,483,8,0,9,12,487,0,1,0,0,499,1,8,2,4,486
