epoch,train_loss,train_acc,val_loss,val_acc,grad_norm,time_sec
1,0.985240,0.679917,0.646933,0.813000,7.182138e-01,252.19
2,0.755401,0.814167,0.575413,0.842000,4.921085e-01,251.97
3,0.719243,0.833083,0.541838,0.852000,4.597223e-01,255.36
4,0.700474,0.842667,0.524739,0.858000,4.411962e-01,261.38
5,0.690033,0.850917,0.516031,0.864000,4.360909e-01,256.28
6,0.684604,0.855167,0.511222,0.865500,4.270834e-01,248.37
7,0.674741,0.861167,0.492267,0.876000,4.298702e-01,253.93
8,0.660015,0.870667,0.474340,0.879000,4.161823e-01,263.69
9,0.649940,0.877583,0.467409,0.883000,4.033200e-01,255.72
10,0.643382,0.881083,0.461758,0.888500,4.019755e-01,252.62
11,0.639243,0.883583,0.457747,0.891500,3.934977e-01,255.34
12,0.636962,0.884667,0.456521,0.892500,3.849210e-01,256.54
13,0.633378,0.887083,0.448288,0.894000,3.891361e-01,260.70
14,0.627078,0.890250,0.441262,0.899000,3.779678e-01,254.33
15,0.622544,0.890667,0.439434,0.900500,3.722828e-01,260.93
16,0.619520,0.892917,0.435571,0.901000,3.723178e-01,249.95
17,0.617577,0.893667,0.433269,0.901500,3.663987e-01,258.76
18,0.616404,0.893750,0.432954,0.902500,3.647252e-01,264.87
19,0.615162,0.893917,0.427218,0.906500,3.689083e-01,262.33
20,0.611420,0.894417,0.424117,0.905500,3.604952e-01,251.66
