epoch,train_loss,train_acc,val_loss,val_acc,grad_norm,time_sec
1,1.708915,0.375583,1.233971,0.730000,6.257491e-01,143.24
2,1.142773,0.697333,1.006315,0.700000,3.219887e-01,139.79
3,1.021823,0.703833,0.934341,0.709500,3.017445e-01,136.65
4,0.984887,0.728833,0.906055,0.717500,2.954478e-01,137.42
5,0.968900,0.732750,0.893226,0.724500,2.906897e-01,142.19
6,0.961603,0.734417,0.887444,0.727500,2.993668e-01,142.77
7,0.948146,0.737917,0.859597,0.738000,2.912434e-01,137.77
8,0.930675,0.735583,0.845538,0.746000,3.079186e-01,141.60
9,0.920448,0.740250,0.831043,0.742000,3.153001e-01,141.83
10,0.914775,0.740417,0.824254,0.743000,3.301973e-01,141.25
11,0.911635,0.740250,0.821713,0.741500,3.304209e-01,139.82
12,0.910061,0.740667,0.820883,0.744000,3.384317e-01,141.30
13,0.907105,0.741167,0.812608,0.746500,3.336916e-01,144.03
14,0.900895,0.745333,0.803918,0.753500,3.430769e-01,139.34
15,0.895377,0.748667,0.797546,0.754000,3.360920e-01,142.20
16,0.892199,0.751000,0.794580,0.755500,3.410155e-01,139.42
17,0.890614,0.752250,0.792991,0.752500,3.449970e-01,143.05
18,0.889913,0.751333,0.792619,0.753500,3.514573e-01,142.44
19,0.889085,0.751750,0.790636,0.754500,3.526745e-01,141.42
20,0.887671,0.751500,0.789666,0.753500,3.592928e-01,136.51
