arm,seed,n_params,timestamp,n_epochs_trained,best_epoch,best_val_loss,val_acc_best,test_loss,test_acc,cm_00,cm_01,cm_02,cm_03,cm_10,cm_11,cm_12,cm_13,cm_20,cm_21,cm_22,cm_23,cm_30,cm_31,cm_32,cm_33
trained,43,62,2026-06-01T17:47:57,19,19,0.261427,0.939500,0.276826,0.931000,444,31,1,24,30,466,0,4,0,0,482,18,12,3,15,470
frozen,43,52,2026-06-01T17:48:25,13,13,0.317710,0.917000,0.318480,0.916000,449,14,3,34,49,449,0,2,3,0,472,25,17,2,19,462
mlp8,43,2108,2026-06-01T17:49:32,5,5,0.132074,0.983000,0.131964,0.981000,480,2,0,18,11,488,0,1,0,0,499,1,2,0,3,495
randfeat,43,52,2026-06-01T17:50:58,20,20,0.444522,0.899000,0.453811,0.890000,439,17,10,34,28,468,2,2,0,0,498,2,47,2,76,375
logistic,43,1028,2026-06-01T17:52:22,16,16,0.167188,0.979500,0.166092,0.981500,484,1,0,15,14,485,0,1,0,0,500,0,3,0,3,494
