epoch,train_loss,train_acc,val_loss,val_acc,grad_norm,time_sec
1,1.477779,0.256500,1.285893,0.342500,6.279555e-01,130.38
2,1.268012,0.364167,1.212018,0.511500,5.045673e-01,128.19
3,1.167071,0.556750,1.060786,0.633500,4.313974e-01,127.46
4,1.051026,0.761417,0.970106,0.802500,3.952890e-01,123.92
5,0.994820,0.815083,0.930156,0.809500,3.599371e-01,134.61
6,0.970455,0.820750,0.913967,0.810000,3.547465e-01,135.38
7,0.934159,0.824250,0.854793,0.815500,3.416521e-01,128.25
8,0.899669,0.829833,0.827097,0.820500,3.213051e-01,123.86
9,0.879245,0.834667,0.805933,0.820500,3.168187e-01,135.87
10,0.863101,0.841917,0.790214,0.815500,3.052447e-01,132.03
11,0.852131,0.844917,0.779763,0.824500,3.075053e-01,129.31
12,0.846446,0.846083,0.775465,0.828000,2.998770e-01,148.05
13,0.835468,0.849000,0.753446,0.827500,2.937868e-01,125.99
14,0.821075,0.849750,0.736827,0.840500,2.949090e-01,130.09
15,0.810560,0.851000,0.727061,0.832000,2.807570e-01,5396.15
16,0.803421,0.851750,0.719164,0.842500,2.812321e-01,98.60
17,0.799064,0.853750,0.716345,0.831500,2.856850e-01,124.11
18,0.796706,0.852750,0.714096,0.833500,2.759821e-01,123.22
19,0.792119,0.853667,0.703629,0.834000,2.743545e-01,123.09
20,0.784455,0.856667,0.695854,0.840000,2.733550e-01,122.13
