epoch,train_loss,train_acc,val_loss,val_acc,grad_norm,time_sec
1,1.380384,0.469250,1.133420,0.781000,5.355254e-01,113.59
2,1.126977,0.822583,1.043084,0.846500,2.564236e-01,89.86
3,1.054630,0.857583,0.963585,0.842500,2.493218e-01,108.31
4,0.997900,0.855333,0.916665,0.835500,2.300266e-01,107.76
5,0.970709,0.856000,0.894638,0.852500,2.210622e-01,69.66
6,0.956143,0.858333,0.880088,0.861000,2.220900e-01,96.25
7,0.945888,0.857833,0.870088,0.858500,2.151212e-01,54.84
8,0.939839,0.858250,0.864832,0.857000,2.199729e-01,55.74
9,0.937133,0.858000,0.862988,0.857000,2.150562e-01,101.64
10,0.935487,0.859250,0.862281,0.856500,2.130365e-01,117.33
11,0.930245,0.858333,0.852395,0.855500,2.113966e-01,249.48
12,0.923611,0.859333,0.848785,0.857000,2.067877e-01,261.33
13,0.920158,0.860167,0.845056,0.859000,2.098882e-01,252.11
14,0.917766,0.861833,0.844444,0.859000,2.071506e-01,233.33
15,0.915856,0.860500,0.843413,0.861500,2.000733e-01,118.59
16,0.914889,0.860917,0.842199,0.855500,2.026569e-01,160.93
17,0.913909,0.860667,0.841485,0.859000,2.010888e-01,187.98
18,0.913546,0.861167,0.840958,0.859500,2.011602e-01,236.48
19,0.913792,0.860833,0.840894,0.858500,1.977611e-01,236.96
20,0.913641,0.859917,0.840844,0.859000,2.059994e-01,239.05
21,0.913136,0.860333,0.840620,0.855500,1.930413e-01,225.99
22,0.912486,0.860083,0.839152,0.855500,1.987365e-01,245.02
23,0.911958,0.857083,0.839777,0.858000,2.014932e-01,214.54
24,0.911267,0.857667,0.839734,0.860000,1.953055e-01,82.36
25,0.911166,0.858083,0.839711,0.856000,1.920351e-01,140.20
26,0.910975,0.857583,0.838827,0.857000,1.899406e-01,113.54
27,0.910497,0.857000,0.838953,0.853500,1.897506e-01,208.40
28,0.910660,0.856000,0.838381,0.854000,2.017236e-01,66.57
29,0.910513,0.857583,0.838669,0.856000,1.899101e-01,209.68
30,0.910543,0.858083,0.838569,0.855500,1.958643e-01,243.30
