epoch,train_loss,train_acc,val_loss,val_acc,time_sec
1,0.483638,0.955917,0.171936,0.967000,4.31
2,0.401398,0.978167,0.141307,0.981000,4.32
3,0.395748,0.979917,0.128171,0.984500,4.31
4,0.391182,0.982667,0.133103,0.982500,4.27
5,0.387856,0.984167,0.128368,0.984000,4.31
6,0.385381,0.985583,0.123196,0.985500,4.29
7,0.390495,0.982583,0.131027,0.982500,4.28
8,0.386238,0.984167,0.123384,0.986500,4.29
9,0.383855,0.985417,0.121526,0.984500,4.27
10,0.382037,0.986000,0.124211,0.986000,4.30
11,0.379640,0.986000,0.122040,0.988000,4.27
12,0.378542,0.986917,0.117922,0.987000,4.28
13,0.382876,0.985083,0.115750,0.987500,4.30
14,0.380807,0.985833,0.115074,0.986500,4.31
15,0.379887,0.986750,0.122287,0.987000,4.32
16,0.378073,0.987750,0.119446,0.986000,4.32
17,0.375809,0.988750,0.118032,0.987500,4.29
18,0.375143,0.988833,0.116258,0.986500,4.33
19,0.379216,0.986417,0.119895,0.984500,4.29
20,0.377288,0.988250,0.118641,0.987500,4.27
