epoch,train_loss,train_acc,val_loss,val_acc,grad_norm,time_sec
1,1.790107,0.313667,1.255640,0.385500,6.641019e-01,163.04
2,1.173710,0.525667,1.047685,0.718000,2.978861e-01,161.61
3,1.082061,0.723667,0.998706,0.736500,2.517283e-01,165.04
4,1.054968,0.718583,0.974639,0.730000,2.593899e-01,165.27
5,1.038606,0.718667,0.961564,0.730500,2.490420e-01,165.35
6,1.029940,0.722167,0.955506,0.734000,2.437203e-01,163.65
7,1.013549,0.730417,0.926348,0.739000,2.487796e-01,159.10
8,0.993213,0.735250,0.905723,0.744500,2.541073e-01,164.49
9,0.979429,0.738333,0.890033,0.747500,2.449437e-01,162.34
10,0.968531,0.740417,0.877173,0.747000,2.540075e-01,168.42
11,0.960372,0.742333,0.869125,0.748500,2.443158e-01,159.71
12,0.955573,0.746833,0.864992,0.752000,2.447542e-01,167.31
13,0.945768,0.758750,0.845145,0.767500,2.416218e-01,159.62
14,0.934226,0.766500,0.835223,0.775500,2.502236e-01,162.06
15,0.928936,0.772667,0.832137,0.776500,2.486829e-01,161.33
16,0.926365,0.774917,0.829852,0.785000,2.534966e-01,161.06
17,0.924927,0.776750,0.828971,0.786000,2.444556e-01,157.75
18,0.924133,0.777000,0.828632,0.783500,2.387092e-01,161.10
19,0.922639,0.774167,0.825807,0.785500,2.348383e-01,157.61
20,0.918220,0.773667,0.821375,0.781500,2.421664e-01,160.51
