epoch,train_loss,train_acc,val_loss,val_acc,grad_norm,time_sec
1,1.060481,0.590417,0.811787,0.700000,5.715174e-01,205.81
2,0.857135,0.747667,0.654285,0.787000,3.991154e-01,189.85
3,0.768650,0.794167,0.591374,0.802500,3.978366e-01,190.65
4,0.729686,0.816333,0.556126,0.828500,4.021835e-01,190.59
5,0.703827,0.835000,0.533897,0.834500,4.008160e-01,191.28
6,0.690051,0.842583,0.524840,0.840000,4.020152e-01,190.61
7,0.665881,0.858917,0.478242,0.867500,3.870709e-01,190.54
8,0.638843,0.875083,0.453086,0.884000,3.812803e-01,191.21
9,0.623644,0.884833,0.436912,0.898500,3.739170e-01,189.40
10,0.614988,0.893083,0.431895,0.901500,3.711732e-01,189.75
11,0.610411,0.896917,0.426893,0.903000,3.663733e-01,189.64
12,0.608043,0.899167,0.425226,0.906000,3.690845e-01,190.28
13,0.604422,0.900750,0.418904,0.907000,3.630815e-01,190.59
14,0.598831,0.903833,0.411663,0.904000,3.680741e-01,190.21
15,0.594841,0.904917,0.410548,0.909000,3.688366e-01,190.27
16,0.592058,0.906333,0.407198,0.908500,3.662505e-01,191.31
17,0.590413,0.907500,0.405347,0.910000,3.613132e-01,189.82
18,0.589436,0.907250,0.405874,0.908500,3.629696e-01,189.45
19,0.588600,0.908667,0.402249,0.908000,3.630247e-01,189.17
20,0.585962,0.909167,0.403299,0.913000,3.642275e-01,190.28
