epoch,train_loss,train_acc,val_loss,val_acc,grad_norm,time_sec
1,1.464709,0.264250,1.283028,0.349500,6.289758e-01,182.33
2,1.251145,0.447500,1.158380,0.582000,4.586858e-01,190.21
3,1.128194,0.621583,1.021123,0.792500,4.132707e-01,187.64
4,1.034466,0.767500,0.939455,0.821500,3.772634e-01,183.61
5,0.985552,0.812250,0.902684,0.827000,3.722944e-01,179.93
6,0.964912,0.817833,0.888378,0.829500,3.445708e-01,191.55
7,0.934639,0.822917,0.836283,0.829000,3.379665e-01,186.89
8,0.904966,0.828667,0.810864,0.830500,3.207725e-01,180.71
9,0.889012,0.828500,0.796092,0.834500,3.216503e-01,188.13
10,0.878674,0.832167,0.785813,0.838000,3.142917e-01,179.04
11,0.871190,0.835167,0.778067,0.836000,3.024062e-01,188.36
12,0.866561,0.836083,0.774325,0.840000,3.110883e-01,194.34
13,0.855080,0.839750,0.749212,0.849000,3.041620e-01,184.67
14,0.836477,0.844500,0.729439,0.849000,3.043892e-01,193.42
15,0.824099,0.846833,0.716814,0.847000,2.957983e-01,184.49
16,0.816263,0.846833,0.709272,0.855500,2.864343e-01,186.55
17,0.811666,0.848500,0.705274,0.855000,2.839038e-01,191.29
18,0.809257,0.848583,0.703207,0.853500,2.855748e-01,184.04
19,0.804540,0.846333,0.693282,0.862000,2.899353e-01,181.18
20,0.796946,0.847250,0.684772,0.859500,2.807529e-01,183.02
