epoch,train_loss,train_acc,val_loss,val_acc,grad_norm,time_sec
1,1.061072,0.637667,0.917866,0.694500,5.807399e-01,86.88
2,0.976466,0.754500,0.893587,0.759500,4.293801e-01,87.74
3,0.956457,0.803833,0.876875,0.831000,4.175196e-01,87.12
4,0.944849,0.836167,0.868569,0.850000,3.721883e-01,86.89
5,0.938803,0.845167,0.864346,0.859000,3.742834e-01,86.93
6,0.935942,0.858000,0.862255,0.860000,3.703703e-01,86.92
7,0.931035,0.865167,0.855582,0.872500,3.730273e-01,87.16
8,0.926040,0.875500,0.851540,0.883500,3.849477e-01,86.66
9,0.923611,0.876500,0.849953,0.890500,3.610766e-01,87.77
10,0.922363,0.877750,0.848513,0.890000,3.608822e-01,87.69
11,0.921123,0.878083,0.847591,0.889500,3.590010e-01,87.16
12,0.920698,0.880417,0.847014,0.886000,3.475148e-01,86.82
13,0.919312,0.876417,0.842959,0.885000,3.575653e-01,87.37
14,0.915406,0.880500,0.837589,0.894500,3.430073e-01,87.03
15,0.911071,0.892583,0.833097,0.897500,3.368610e-01,86.49
16,0.907738,0.896333,0.830632,0.906000,3.296614e-01,86.84
17,0.905941,0.901333,0.829360,0.902500,3.237261e-01,87.03
18,0.905083,0.901333,0.828768,0.906000,3.261720e-01,87.13
19,0.904063,0.901500,0.827301,0.914000,3.253602e-01,86.89
20,0.902595,0.904833,0.825797,0.907500,3.178278e-01,86.82
