epoch,train_loss,train_acc,val_loss,val_acc,grad_norm,time_sec
1,1.267842,0.415167,1.101878,0.560000,5.105637e-01,225.46
2,1.063698,0.618417,0.959409,0.636000,3.933257e-01,230.97
3,0.970373,0.684250,0.862937,0.692000,3.776969e-01,227.86
4,0.905393,0.724917,0.806530,0.726000,3.761909e-01,231.89
5,0.874133,0.744083,0.783266,0.739500,3.607968e-01,231.62
6,0.861681,0.749417,0.773838,0.747000,3.561943e-01,232.02
7,0.843567,0.759250,0.738185,0.762500,3.525743e-01,225.73
8,0.823881,0.772000,0.716385,0.771500,3.501119e-01,229.48
9,0.810076,0.779583,0.701603,0.772000,3.461787e-01,229.25
10,0.801052,0.785917,0.692724,0.781500,3.414826e-01,228.53
11,0.795981,0.787833,0.688348,0.784000,3.404258e-01,226.88
12,0.793465,0.791083,0.686633,0.783000,3.359560e-01,227.87
13,0.789587,0.795083,0.677642,0.789000,3.353396e-01,235.26
14,0.783657,0.801083,0.670469,0.801500,3.424674e-01,228.64
15,0.778612,0.804000,0.663525,0.805500,3.347828e-01,228.24
16,0.774552,0.810167,0.658063,0.809000,3.303972e-01,227.61
17,0.771668,0.811583,0.655820,0.808000,3.319630e-01,230.55
18,0.769909,0.811833,0.653964,0.809500,3.284397e-01,230.82
19,0.766711,0.816917,0.645408,0.813500,3.264893e-01,227.38
20,0.760575,0.821667,0.637818,0.815500,3.289145e-01,229.84
