epoch,train_loss,train_acc,val_loss,val_acc,grad_norm,time_sec
1,1.137602,0.619750,1.018712,0.638500,4.720451e-01,79.92
2,1.026188,0.654000,0.934864,0.668000,3.418279e-01,80.54
3,0.978923,0.720500,0.897060,0.737500,2.830972e-01,83.80
4,0.954734,0.774083,0.878985,0.783000,2.594277e-01,81.22
5,0.943146,0.796417,0.870518,0.795500,2.457475e-01,81.73
6,0.937551,0.806417,0.866485,0.801000,2.435327e-01,81.21
7,0.925976,0.815083,0.845545,0.808000,2.398497e-01,83.22
8,0.911195,0.813667,0.833365,0.800500,2.547853e-01,81.42
9,0.902932,0.810000,0.825663,0.799500,2.675134e-01,82.56
10,0.897654,0.809667,0.820634,0.800000,2.915733e-01,83.05
11,0.894335,0.812250,0.817601,0.803500,2.924931e-01,81.77
12,0.892456,0.813917,0.816225,0.804500,2.815597e-01,83.09
13,0.888606,0.818250,0.807919,0.813500,3.021835e-01,81.94
14,0.882792,0.826417,0.802652,0.818000,3.061429e-01,82.89
15,0.879073,0.829250,0.799103,0.817500,3.168989e-01,84.63
16,0.876774,0.830250,0.797066,0.818000,3.088447e-01,83.89
17,0.875427,0.831750,0.796177,0.823000,3.216557e-01,79.30
18,0.874783,0.832750,0.795614,0.818500,3.115005e-01,90.36
19,0.873768,0.832250,0.793343,0.819500,3.126295e-01,83.15
20,0.871567,0.834750,0.791354,0.819000,3.170718e-01,83.36
