epoch,train_loss,train_acc,val_loss,val_acc,grad_norm,time_sec
1,1.140877,0.619333,1.016980,0.642000,4.515604e-01,94.49
2,1.033191,0.640083,0.928283,0.663500,3.323772e-01,92.39
3,0.983593,0.707917,0.890634,0.750000,2.781249e-01,91.13
4,0.959403,0.766167,0.872794,0.785500,2.539517e-01,94.80
5,0.947710,0.789583,0.864399,0.803500,2.538089e-01,93.86
6,0.942011,0.800750,0.860347,0.805000,2.459262e-01,94.72
7,0.930193,0.812583,0.839565,0.815500,2.507576e-01,95.68
8,0.914491,0.813583,0.826453,0.813500,2.466929e-01,96.24
9,0.905813,0.809333,0.816643,0.812500,2.634620e-01,93.99
10,0.900521,0.808333,0.811224,0.814000,2.661516e-01,93.94
11,0.897055,0.808750,0.807960,0.815500,2.776037e-01,91.45
12,0.895071,0.810500,0.806515,0.817000,2.916197e-01,87.88
13,0.891153,0.816167,0.796867,0.824000,3.043057e-01,91.16
14,0.885012,0.823750,0.790617,0.830500,3.091657e-01,95.83
15,0.881126,0.827750,0.788357,0.830500,3.157914e-01,91.65
16,0.878884,0.829333,0.785357,0.833500,3.169905e-01,91.95
17,0.877513,0.829583,0.784047,0.835500,3.051900e-01,90.28
18,0.876864,0.829500,0.783836,0.835500,3.257034e-01,93.44
19,0.875647,0.830167,0.782420,0.833500,3.136267e-01,89.42
20,0.873595,0.831917,0.780022,0.837500,3.192573e-01,94.75
