epoch,train_loss,train_acc,val_loss,val_acc,time_sec
1,1.027887,0.667833,0.711300,0.829500,0.40
2,0.776656,0.833417,0.579279,0.851000,0.41
3,0.736948,0.841333,0.544820,0.852500,0.42
4,0.724289,0.844000,0.532146,0.854000,0.41
5,0.718193,0.845083,0.527646,0.857000,0.40
6,0.715475,0.848000,0.524430,0.858000,0.40
7,0.710571,0.848333,0.511493,0.859000,0.40
8,0.702965,0.851583,0.505691,0.858500,0.40
9,0.698367,0.854083,0.501003,0.861500,0.40
10,0.695099,0.854583,0.499639,0.859500,0.41
11,0.693505,0.855583,0.496428,0.861500,0.39
12,0.692407,0.855583,0.495442,0.861000,0.40
13,0.691178,0.857917,0.491695,0.861500,0.41
14,0.688730,0.860000,0.489554,0.865000,0.41
15,0.687018,0.860417,0.487666,0.865000,0.41
16,0.685557,0.861667,0.485374,0.864000,0.40
17,0.684658,0.862167,0.485547,0.867000,0.40
18,0.684141,0.864250,0.484188,0.867000,0.41
19,0.683822,0.862667,0.482237,0.868000,0.40
20,0.682764,0.863667,0.481462,0.869500,0.40
