epoch,train_loss,train_acc,val_loss,val_acc,grad_norm,time_sec
1,1.230321,0.486917,1.050092,0.690500,4.928181e-01,108.08
2,1.016893,0.727917,0.899853,0.781000,3.587438e-01,107.57
3,0.954779,0.799833,0.862559,0.814500,3.189596e-01,107.56
4,0.931404,0.817417,0.837269,0.826000,3.107140e-01,107.71
5,0.915299,0.830083,0.823522,0.840500,3.086238e-01,108.24
6,0.906867,0.840500,0.817105,0.838500,2.966695e-01,108.40
7,0.890675,0.852167,0.788091,0.858500,2.880978e-01,107.93
8,0.869720,0.866083,0.771273,0.862500,2.903749e-01,107.65
9,0.858430,0.873000,0.762500,0.874000,2.810905e-01,107.90
10,0.853512,0.876750,0.758231,0.882000,2.863689e-01,107.92
11,0.850949,0.878500,0.756315,0.880000,2.895688e-01,107.83
12,0.849673,0.878833,0.755372,0.879500,2.751157e-01,108.30
13,0.847502,0.880583,0.751040,0.883000,2.836373e-01,108.21
14,0.843911,0.884833,0.746695,0.896000,2.797811e-01,107.90
15,0.841434,0.888333,0.746325,0.880500,2.740037e-01,108.76
16,0.840138,0.888500,0.744156,0.897000,2.754533e-01,108.08
17,0.839352,0.892333,0.743823,0.896500,2.673986e-01,108.18
18,0.838959,0.891417,0.743430,0.896500,2.648856e-01,108.31
19,0.838539,0.892500,0.743118,0.894500,2.704887e-01,107.25
20,0.837423,0.894167,0.741844,0.893500,2.546987e-01,108.54
