epoch,train_loss,train_acc,val_loss,val_acc,grad_norm,time_sec
1,1.590513,0.267500,1.275856,0.402500,8.037442e-01,109.48
2,1.239956,0.520583,1.175316,0.669500,6.450219e-01,113.02
3,1.083802,0.731500,0.946027,0.765500,5.910290e-01,107.73
4,0.962674,0.803583,0.897810,0.782500,4.105858e-01,107.41
5,0.940328,0.810583,0.880862,0.789000,3.860686e-01,108.52
6,0.930193,0.810417,0.872898,0.791500,3.762791e-01,108.11
7,0.905939,0.822417,0.826721,0.797500,3.717028e-01,108.10
8,0.873725,0.832167,0.796430,0.807500,3.575731e-01,107.55
9,0.852994,0.831167,0.776190,0.811000,3.359934e-01,107.83
10,0.839402,0.827917,0.762494,0.809000,3.329763e-01,107.62
11,0.830964,0.827667,0.754703,0.805000,3.388715e-01,108.74
12,0.826619,0.825083,0.751192,0.804000,3.315585e-01,107.75
13,0.818343,0.822250,0.735061,0.804000,3.296432e-01,108.11
14,0.808816,0.819000,0.724711,0.795000,3.230572e-01,107.87
15,0.803986,0.815500,0.720098,0.798000,3.181664e-01,107.59
16,0.801461,0.815167,0.717039,0.795500,3.149463e-01,108.01
17,0.800053,0.814500,0.716131,0.797500,3.104204e-01,108.39
18,0.799338,0.814583,0.715663,0.796500,3.117828e-01,108.46
19,0.798486,0.815083,0.712359,0.789500,3.064666e-01,107.82
20,0.796710,0.813333,0.710803,0.789000,3.004221e-01,108.18
