epoch,train_loss,train_acc,val_loss,val_acc,grad_norm,time_sec
1,1.065675,0.604000,0.920903,0.734000,5.626489e-01,97.51
2,0.976036,0.760000,0.896676,0.794500,4.179227e-01,99.42
3,0.957692,0.807250,0.881834,0.825000,4.052662e-01,99.35
4,0.947605,0.831667,0.872976,0.850000,3.888476e-01,99.32
5,0.941758,0.847750,0.868338,0.861500,3.740120e-01,97.80
6,0.938884,0.850667,0.866199,0.865000,3.806317e-01,98.18
7,0.933466,0.858167,0.856235,0.885000,3.660069e-01,96.94
8,0.927935,0.872000,0.852592,0.886500,3.722710e-01,98.95
9,0.925213,0.874167,0.850847,0.891500,3.610851e-01,100.08
10,0.924007,0.877750,0.849571,0.882000,3.586616e-01,101.98
11,0.923001,0.871500,0.848340,0.899000,3.544445e-01,98.33
12,0.922498,0.879417,0.847843,0.890500,3.660034e-01,98.07
13,0.921354,0.874000,0.845147,0.866000,3.605816e-01,97.75
14,0.918205,0.875917,0.841271,0.875500,3.381541e-01,102.20
15,0.914042,0.882333,0.835681,0.905000,3.346968e-01,97.42
16,0.910611,0.891000,0.833045,0.907000,3.461315e-01,96.74
17,0.908337,0.893333,0.831601,0.909500,3.313123e-01,98.87
18,0.907344,0.896917,0.830831,0.910500,3.309923e-01,99.60
19,0.905796,0.898583,0.828693,0.913000,3.114937e-01,97.66
20,0.904180,0.902167,0.828421,0.914500,3.315836e-01,99.20
