epoch,train_loss,train_acc,val_loss,val_acc,grad_norm,time_sec
1,0.970055,0.692500,0.663855,0.791500,7.117791e-01,176.72
2,0.744160,0.822667,0.594616,0.810500,4.806481e-01,176.06
3,0.712158,0.837250,0.563366,0.824500,4.630612e-01,176.74
4,0.695486,0.846333,0.545235,0.834500,4.462438e-01,176.59
5,0.685993,0.851083,0.535844,0.835500,4.417299e-01,178.03
6,0.681006,0.854917,0.531366,0.839000,4.354066e-01,177.10
7,0.672329,0.859750,0.509338,0.851500,4.328646e-01,178.19
8,0.658948,0.867750,0.496639,0.857500,4.187626e-01,177.93
9,0.649093,0.875083,0.487771,0.862000,4.070957e-01,178.56
10,0.642417,0.878417,0.482814,0.862500,3.981376e-01,177.51
11,0.638199,0.879500,0.480102,0.866000,3.945491e-01,177.39
12,0.635904,0.880833,0.478814,0.865500,3.871413e-01,178.08
13,0.632048,0.883000,0.472679,0.872500,3.899344e-01,178.76
14,0.624198,0.889083,0.466950,0.879000,3.735813e-01,177.10
15,0.618470,0.892583,0.461714,0.882500,3.716218e-01,177.05
16,0.614696,0.895583,0.458060,0.879500,3.667315e-01,177.43
17,0.612526,0.895167,0.457210,0.884000,3.617411e-01,177.88
18,0.611274,0.896000,0.456202,0.885000,3.576489e-01,177.46
19,0.609971,0.896417,0.453848,0.891000,3.594654e-01,178.00
20,0.606831,0.899167,0.448711,0.890000,3.551632e-01,176.81
