seed,variant,epoch,nparams_trainable,train_loss_stepmean,train_loss_diag,train_acc_diag,train_gap_diag,val_loss,val_acc,val_gap,test_loss,test_acc,test_gap,sec_epoch,sec_quantum_train,sec_quantum_val,sec_quantum_test,e3_fallback_quadrants_train_total,e3_fallback_quadrants_val_total,e3_fallback_quadrants_test_total,pred_hist_test,feat_std_mean_test,grad_e1_embed,grad_e4_embed,grad_qkernel,grad_head
1,E2,1,2978,1.330641593232518,1.16139366139262,0.602,1.847792570710182,1.1499678824303556,0.622,1.901867709517479,1.23418739360763,0.592,1.9320750069618224,50.365710735321045,19.290785312652588,9.208762645721436,9.174450397491455,0,0,0,"[27, 53, 37, 56, 18, 35, 83, 47, 77, 67]",0.4827421307563782,0.0,0.0,2.22863241335594,10.003686258264782
1,E2,2,2978,1.013770325704223,1.0008354685569647,0.638,2.538085469722748,1.1642416821465014,0.614,2.5507318177595733,1.2283355743360007,0.608,2.5371931889057158,50.51239633560181,19.42561364173889,9.185021162033081,9.146782159805298,0,0,0,"[53, 47, 21, 27, 104, 31, 26, 71, 72, 48]",0.4815461039543152,0.0,0.0,0.028099205400171044,0.06825353268144786
1,E2,3,2978,0.9477130113394996,0.8277520229560033,0.668,2.4383543667793273,1.060814724286145,0.62,2.391030825793743,1.1023029992969824,0.628,2.31368181297183,49.82973885536194,19.11713743209839,9.082189798355103,9.077792406082153,0,0,0,"[60, 55, 30, 18, 30, 56, 86, 49, 67, 49]",0.4805712103843689,0.0,0.0,0.4159132744525778,2.184064097067538
1,E2,4,2978,0.8880342213359909,0.8315898753142119,0.698,2.6518552703261373,1.0591842227076813,0.63,2.6357925748229025,1.1283398654860994,0.63,2.559427972942591,50.17428994178772,19.216712951660156,9.152488708496094,9.16360855102539,0,0,0,"[28, 67, 42, 59, 40, 48, 62, 63, 50, 41]",0.47900569438934326,0.0,0.0,0.04617149793220338,0.11403500629963423
1,E2,5,2978,0.8249339199827955,0.7431219186261587,0.72,2.557220990240574,1.062768539598008,0.634,2.5722124001979827,1.0783449901568964,0.632,2.6322649805769323,50.69551992416382,19.29733943939209,9.270280599594116,9.300998449325562,0,0,0,"[91, 48, 36, 36, 46, 44, 35, 58, 55, 51]",0.4782780110836029,0.0,0.0,2.933903824436022,6.9855935038709545
1,E2,6,2978,0.7799058455446634,0.7050417505083606,0.726,2.5956915236115456,1.1214384370723418,0.632,2.5606138364374638,1.1209185616275281,0.636,2.5511829495728016,50.695119857788086,19.551302194595337,9.189658164978027,9.11334753036499,0,0,0,"[40, 50, 25, 76, 76, 28, 32, 74, 48, 51]",0.47710147500038147,0.0,0.0,0.004355511729909732,0.03237534535005483
1,E2,7,2978,0.734357534837779,0.6931013675692574,0.726,3.0788022805154323,1.2255362543246537,0.64,3.1433504291772842,1.217096488948613,0.634,3.0774376780092716,49.82232117652893,19.16678214073181,9.201023817062378,9.053621768951416,0,0,0,"[76, 46, 42, 46, 40, 30, 52, 78, 48, 42]",0.4753402769565582,0.0,0.0,0.05748507151148531,0.24575514384880903
1,E2,8,2978,0.7380434967136479,0.6478839791474875,0.748,3.007385608166456,1.2433104027220467,0.61,2.891326941370964,1.1615593594455005,0.668,2.953936673283577,49.79266977310181,19.079508781433105,9.252671480178833,9.111416578292847,0,0,0,"[58, 45, 38, 50, 53, 63, 49, 29, 56, 59]",0.47446805238723755,0.0,0.0,4.128297192675341,4.9206173970403455
1,E2,9,2978,0.6884061495835749,0.5396658584339867,0.786,3.748679068207741,1.1300441304730995,0.652,3.6126372527182102,1.1579604203210683,0.646,3.6592266830801963,50.530773401260376,19.291285037994385,9.38670039176941,9.190102338790894,0,0,0,"[56, 56, 59, 35, 49, 44, 31, 56, 63, 51]",0.47384557127952576,0.0,0.0,0.7527398231541292,1.3730600808839353
1,E2,10,2978,0.6582996268818484,0.5468679034493791,0.798,3.4670350451469423,1.2887514928252286,0.634,3.3368431344628333,1.2882286315947773,0.63,3.390218608558178,50.11156153678894,19.321271657943726,9.222382545471191,9.048417091369629,0,0,0,"[33, 54, 37, 43, 75, 66, 47, 30, 58, 57]",0.47291550040245056,0.0,0.0,0.028162185248193524,0.05811796883010866
