epoch,train_loss,train_acc,val_loss,val_acc,grad_norm,time_sec
1,1.157028,0.503667,1.051523,0.498000,1.669589e-01,37.32
2,1.080587,0.497083,1.007829,0.519000,1.307082e-01,37.35
3,1.053673,0.561333,0.988350,0.604500,1.377382e-01,37.32
4,1.041307,0.627583,0.977532,0.640000,1.453483e-01,37.33
5,1.033501,0.646083,0.970074,0.646500,1.460423e-01,37.19
6,1.028726,0.655250,0.966343,0.641500,1.464354e-01,37.32
7,1.020543,0.647083,0.953070,0.641500,1.456572e-01,37.37
8,1.014173,0.638167,0.948927,0.633500,1.405883e-01,37.32
9,1.011611,0.640417,0.946707,0.633000,1.417702e-01,37.21
10,1.010014,0.641750,0.944893,0.629500,1.430526e-01,37.33
11,1.008900,0.638833,0.943639,0.630000,1.435262e-01,37.22
12,1.008092,0.636750,0.942869,0.629500,1.359576e-01,37.26
13,1.005182,0.639083,0.935127,0.639000,1.410522e-01,37.25
14,0.997921,0.700083,0.927639,0.757000,1.569079e-01,37.20
15,0.993387,0.775083,0.925359,0.823000,1.587977e-01,37.36
16,0.991715,0.800833,0.923671,0.815000,1.631360e-01,37.31
17,0.991028,0.804000,0.923348,0.821500,1.625920e-01,37.36
18,0.990684,0.808583,0.922995,0.817500,1.618969e-01,37.23
19,0.990299,0.808000,0.921386,0.814500,1.626591e-01,37.35
20,0.989467,0.808417,0.920602,0.821500,1.695753e-01,37.36
