epoch,train_loss,train_acc,val_loss,val_acc,time_sec
1,0.558031,0.931833,0.221712,0.964000,4.17
2,0.459590,0.970750,0.201146,0.973500,4.15
3,0.449863,0.974500,0.189069,0.975000,4.18
4,0.444817,0.977583,0.183684,0.976500,4.19
5,0.441994,0.978250,0.181504,0.976500,4.16
6,0.440531,0.978750,0.181901,0.977500,4.16
7,0.439764,0.978417,0.177283,0.980000,4.15
8,0.436417,0.979750,0.177302,0.982000,4.17
9,0.434190,0.980250,0.173230,0.982500,4.15
10,0.432639,0.981083,0.172610,0.981500,4.15
11,0.431318,0.981417,0.171291,0.981000,4.16
12,0.430580,0.981667,0.169657,0.982000,4.18
13,0.431352,0.980833,0.169016,0.983500,4.19
14,0.430291,0.981583,0.168324,0.984500,4.15
15,0.428788,0.981083,0.168208,0.983500,4.17
16,0.427925,0.982333,0.166953,0.984000,4.18
17,0.427506,0.982250,0.167478,0.984000,4.17
18,0.426867,0.982083,0.167064,0.984500,4.16
19,0.427673,0.982417,0.163747,0.986500,4.17
20,0.427224,0.982917,0.166060,0.983500,4.16
