epoch,train_loss,val_loss,val_acc,time_sec
1,2.400186336517334,2.234657481765747,0.2268,173.24042415618896
2,2.1365618270874025,1.9986468090057372,0.3448,171.57729148864746
3,1.9460924102783204,1.8018306913375854,0.4336,171.72181487083435
4,1.794298624610901,1.6416661672592163,0.5116,171.57468271255493
5,1.6738987777709962,1.5093200876235962,0.5816,171.77553248405457
6,1.5741972631454468,1.3936554864883424,0.6008,172.02039575576782
7,1.4869191652297973,1.2882948595046997,0.6172,172.0483627319336
8,1.4128432298660278,1.198485334777832,0.6312,172.0318078994751
9,1.3551880548477173,1.127865090560913,0.6424,171.9732313156128
10,1.3133632488250733,1.077351985168457,0.6492,172.0100061893463
11,1.2843998054504395,1.0414018745422364,0.6564,172.13231754302979
12,1.2634078241348266,1.0136421270370484,0.6596,172.14811372756958
13,1.2470370380401612,0.9937854661941529,0.6656,171.85249400138855
14,1.234359566116333,0.9762944292068482,0.6748,171.65665125846863
15,1.2239185359954834,0.9633049903869629,0.6776,172.26856541633606
16,1.215305632019043,0.9520938591957092,0.6828,172.6633951663971
17,1.2076230010986329,0.9425770445823669,0.6836,172.15363454818726
18,1.2009168861389161,0.9348146795272827,0.6872,171.75463795661926
19,1.1951508474349977,0.9286063753128052,0.6872,171.64135479927063
20,1.1903461087226868,0.9218028721809387,0.6884,171.49393463134766
21,1.1855472192764283,0.9160449741363526,0.692,171.6604781150818
22,1.1815862560272217,0.9121296112060547,0.6888,171.7123785018921
23,1.1781813396453857,0.9080434142112732,0.694,171.65418195724487
24,1.1748740783691407,0.9044584931373596,0.6916,171.61177515983582
25,1.1722842905044555,0.9014828786849975,0.6956,171.7103979587555
26,1.16967982673645,0.8987259774208068,0.6956,171.676748752594
27,1.167682830142975,0.8966581383705139,0.6972,171.73793649673462
28,1.1658345642089845,0.8944393385887146,0.696,171.5572910308838
29,1.1643121405601502,0.8925948392868042,0.6964,171.60134649276733
30,1.1629085451126098,0.8912384136199951,0.698,171.64632940292358
