epoch,train_loss,train_acc,val_loss,val_acc,grad_norm,time_sec
1,1.046343,0.632250,0.737787,0.761000,6.100421e-01,220.45
2,0.767029,0.810333,0.593950,0.817000,5.294431e-01,219.65
3,0.700128,0.844250,0.545332,0.845000,5.026684e-01,231.28
4,0.672783,0.858500,0.526762,0.849000,4.815766e-01,219.91
5,0.660978,0.864917,0.516840,0.851500,4.764238e-01,219.61
6,0.655468,0.867917,0.511879,0.854500,4.720473e-01,220.63
7,0.646082,0.872750,0.488696,0.863000,4.679025e-01,220.22
8,0.630628,0.879833,0.468135,0.871000,4.544373e-01,222.09
9,0.618306,0.885083,0.454503,0.875500,4.528675e-01,220.09
10,0.609793,0.890833,0.445437,0.880000,4.332932e-01,219.11
11,0.604789,0.893833,0.440723,0.882500,4.334964e-01,219.90
12,0.602248,0.895917,0.438198,0.880500,4.255973e-01,219.02
13,0.598382,0.898667,0.427730,0.889500,4.178685e-01,218.10
14,0.591730,0.903000,0.422669,0.891500,4.203944e-01,221.55
15,0.586907,0.906917,0.415311,0.896500,4.012113e-01,220.59
16,0.583782,0.908667,0.411846,0.897000,4.006611e-01,220.10
17,0.581758,0.909167,0.411524,0.899500,3.925617e-01,218.65
18,0.580629,0.910250,0.410212,0.899000,3.833108e-01,220.60
19,0.579613,0.911750,0.406625,0.902500,3.882611e-01,221.19
20,0.576557,0.911500,0.402443,0.905500,3.809995e-01,220.29
