epoch,train_loss,train_acc,val_loss,val_acc,time_sec
1,0.807436,0.789917,0.419331,0.917500,22.42
2,0.565682,0.922500,0.331555,0.922500,22.37
3,0.542188,0.926083,0.320079,0.921000,22.46
4,0.536740,0.925833,0.315900,0.921000,22.38
5,0.534706,0.926500,0.314041,0.922000,22.35
6,0.533461,0.927500,0.312465,0.921500,22.32
7,0.532988,0.926917,0.308792,0.920500,22.37
8,0.529498,0.928333,0.307209,0.925000,22.29
9,0.527243,0.928667,0.303056,0.921500,22.29
10,0.525320,0.930250,0.301944,0.922000,22.38
11,0.523766,0.931083,0.300355,0.924500,22.34
12,0.522893,0.931083,0.299521,0.922500,22.39
13,0.522413,0.930333,0.296751,0.923500,22.37
14,0.520835,0.930917,0.294595,0.925500,22.33
15,0.517971,0.932917,0.291056,0.927000,22.37
16,0.516439,0.933500,0.290402,0.925000,22.40
17,0.515183,0.934333,0.290026,0.926500,22.36
18,0.514422,0.934750,0.290492,0.925500,22.41
19,0.514831,0.934583,0.287682,0.927500,22.27
20,0.513955,0.935500,0.286347,0.927500,22.35
