epoch,train_loss,train_acc,val_loss,val_acc,grad_norm,time_sec
1,1.121826,0.605667,0.724586,0.778500,8.826473e-01,261.41
2,0.764990,0.820750,0.563857,0.860000,6.169863e-01,264.35
3,0.671565,0.880583,0.491137,0.897500,5.126395e-01,261.56
4,0.631137,0.899833,0.454261,0.907000,4.813776e-01,262.30
5,0.613117,0.908917,0.439746,0.913500,4.690222e-01,254.05
6,0.605028,0.912167,0.432042,0.916000,4.610479e-01,260.00
7,0.592080,0.916833,0.403710,0.921000,4.650712e-01,259.42
8,0.575866,0.920333,0.387481,0.923500,4.443509e-01,259.83
9,0.566556,0.923583,0.380199,0.928500,4.320042e-01,253.73
10,0.561138,0.926250,0.374395,0.929500,4.207569e-01,263.96
11,0.558123,0.925750,0.372176,0.930000,4.243975e-01,257.84
12,0.556375,0.927083,0.370903,0.931500,4.242636e-01,258.69
13,0.554341,0.928417,0.366672,0.933000,4.291712e-01,257.68
14,0.549983,0.929250,0.362195,0.934000,4.264996e-01,259.67
15,0.547303,0.930417,0.358905,0.933000,4.208623e-01,262.64
16,0.545404,0.931083,0.356154,0.932000,4.132968e-01,256.69
17,0.544357,0.930667,0.355353,0.931500,4.150066e-01,259.44
18,0.543597,0.931167,0.354829,0.932500,4.061598e-01,256.46
19,0.543440,0.930667,0.352898,0.934500,4.179942e-01,257.88
20,0.541785,0.931917,0.352027,0.935000,4.194769e-01,260.07
