epoch,train_loss,train_acc,val_loss,val_acc,grad_norm,time_sec
1,1.121364,0.591417,0.917170,0.595500,6.601122e-01,82.71
2,0.958666,0.681833,0.891549,0.707500,4.364344e-01,82.77
3,0.943631,0.741250,0.883327,0.702500,4.151898e-01,82.41
4,0.935046,0.758333,0.873606,0.741000,4.023667e-01,82.31
5,0.927381,0.774500,0.864948,0.771000,3.861935e-01,91.71
6,0.921909,0.791167,0.860782,0.795000,3.822130e-01,98.53
7,0.919101,0.805417,0.858261,0.792000,3.888286e-01,98.80
8,0.917733,0.808500,0.856838,0.798000,3.671285e-01,94.40
9,0.916911,0.812583,0.856100,0.802000,3.673294e-01,97.55
10,0.916456,0.814417,0.855744,0.803500,3.673638e-01,97.53
11,0.915632,0.817750,0.853484,0.808000,3.714526e-01,94.12
12,0.913950,0.823667,0.851602,0.809500,3.555316e-01,94.38
13,0.912302,0.829667,0.849253,0.818500,3.445611e-01,92.09
14,0.910764,0.831167,0.847902,0.820000,3.514657e-01,88.46
15,0.909118,0.836000,0.846366,0.820000,3.305600e-01,95.86
16,0.907569,0.840500,0.844484,0.822500,3.157590e-01,94.84
17,0.906165,0.843583,0.842844,0.826000,3.080882e-01,96.04
18,0.905023,0.847083,0.841808,0.830500,3.176116e-01,94.40
19,0.904233,0.846750,0.840968,0.833000,3.212665e-01,91.88
20,0.903687,0.850417,0.840701,0.832000,3.054267e-01,95.64
21,0.902142,0.852167,0.836904,0.841500,3.232400e-01,93.91
22,0.898825,0.861417,0.834165,0.840500,3.102572e-01,93.11
23,0.896046,0.865583,0.831444,0.849500,3.190885e-01,88.90
24,0.893761,0.871833,0.829914,0.849500,3.177072e-01,97.86
25,0.892257,0.876917,0.828703,0.854500,3.230757e-01,93.66
26,0.891263,0.877500,0.827915,0.851500,3.283711e-01,99.80
27,0.890521,0.878417,0.827253,0.856500,3.228424e-01,94.05
28,0.889982,0.879583,0.826904,0.854000,3.226203e-01,92.08
29,0.889659,0.879167,0.826706,0.857500,3.234417e-01,93.29
30,0.889429,0.880833,0.826482,0.857500,3.340353e-01,95.28
