epoch,train_loss,train_acc,val_loss,val_acc,grad_norm,time_sec
1,1.733186,0.340667,1.183302,0.583500,6.850982e-01,109.38
2,1.138440,0.691083,1.076518,0.723000,2.678490e-01,109.41
3,1.089364,0.753583,1.049593,0.744000,2.161522e-01,109.53
4,1.070107,0.778833,1.030504,0.755000,2.029797e-01,109.98
5,1.052910,0.776250,1.013094,0.749500,2.154777e-01,109.61
6,1.039955,0.773500,1.002985,0.747000,2.113895e-01,109.99
7,1.010996,0.773917,0.952021,0.751500,2.261476e-01,108.96
8,0.977375,0.786167,0.922508,0.761500,2.233650e-01,109.52
9,0.959262,0.794500,0.907560,0.769500,2.267193e-01,110.32
10,0.950142,0.800750,0.900362,0.772000,2.334747e-01,109.25
11,0.945460,0.803917,0.896477,0.774000,2.280771e-01,109.58
12,0.943181,0.802417,0.894924,0.775500,2.278215e-01,110.86
13,0.939082,0.804500,0.886412,0.774000,2.324623e-01,109.66
14,0.933435,0.803250,0.880925,0.771000,2.305173e-01,109.95
15,0.929272,0.801417,0.877268,0.775000,2.322463e-01,109.86
16,0.926401,0.800667,0.873842,0.777000,2.309613e-01,109.52
17,0.924297,0.800833,0.872347,0.773000,2.278845e-01,109.47
18,0.923087,0.801250,0.871292,0.774000,2.320012e-01,109.12
19,0.920212,0.801083,0.865062,0.774500,2.301906e-01,109.05
20,0.913164,0.799083,0.856787,0.778500,2.292403e-01,109.55
